TOA,TOB,FROMA,FROMB,DESCRIPTION
SMATE ,Side Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. Continue past two sets of quad doors, back onto the brick path, and continue straight towards the SMATE building. There will be grass to the left of the path and a green space to the right. There will be a small brick path on your right. Turn right onto the path and continue straight. You will pass two wooden benches at the second bench turn left and continue straight. You will pass the green space on the left. Cross the brick path until you reach the corner of the SMATE building. There will be a staircase in front of you. Turn left and the entrance will be in front of you."
Fine Arts Building,Main Entrance,Parking Lot 10G,N/A,"In the parking lot facing Miller Hall, turn left so that you go up the ramp in between the western gallery to your right, and the Fine Arts Building to the left. You will pass one entrance to the Fine Arts Building on your left. Continue straight, following a grass edge on your left, stepping onto a brick path There will be a lamp post to your left with the corner of the grass. Turn left to find a ramp to your right on the edge of the building. Follow the ramp up turning right to the end left the entrance is in front of you the push button for automatic door for automatic door is small in the middle of the two doors to the left of a key lock."
Fine Arts Building,Main  Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. Pass two sets of quad doors to reach the main entrance to the Carver gym.Turn left and cross the brick path, facing the fine arts building. You will come to a patch of grass, follow the edge to the right until you meet another path. Then continue to follow the same edge of grass, turning to the left on to this path. The Fine Arts Building is to your right, and you will find a corner of the wall. At this corner, turn right, then at the stairs, turn left. There will be a light pole to the right before another patch of grass begins to the right. At this pole, turn right, then another right, turning around so that you are on the ramp going up to the main entrance. At the top of the ramp turn right to face the doors."
Parking Lot LZ,N/A,Carver Gym,Garden Entrance,"Continue straight after exiting the building, walking throught the corridor so that the glass wall of Carver is to your right and the brick wall is to the left. When you reach the end of the corridor there will be a wooden and concrete bench; turn right. Follow the edge of the grass which is to your left, following it as it turns left to walk away from Carver, then left again so that Carver is to your Left and Bond Hall is to the right. Past Bond Hall, when College hall is to your left, the parking lot will be on your right."
Parking Lot LZ,N/A,Carver Gym,North Entrance,"Exit the building and continue walking straight, following the brick wall of the builing and then grass to your right. At the edge of the grass, turn left onto the path so that Carver is to your Left and Bond Hall is to the right. Past Bond Hall, when College hall is to your left, the parking lot will be on your right."
Parking Lot LZ,N/A,Carver Gym,Main Entrance,"Turn left as you exit the building, and pass a set of double doors to your left. Follow the edge of the Carver building to the left and turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. Past Bond Hall, when College hall is to your left, the parking lot will be on your right."
Parking Lot LZ,N/A,Carver Gym,South Entrance,"Turn to the left after exiting the building. Passing two benches, there will be a green space to your right and Carver will be to your left. At the edge of the Carver building, you will meet a larger brick path. Turn left onto this path, Carver will continue to be to your left, and walk straight. You will pass the main entrance of Carver to your left, continue to follow the edge of the building. Turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. Past Bond Hall, when College hall is to your left, the parking lot will be on your right."
Parking Lot 9G,N/A,Carver Gym,South Entrance,"As you exit, continue straight, You will pass the green space on the left, then the SMATE building to the left flanked by a rock wall on the right. Passing the SMATE building wall, grass will begin on the left. Continue to follow the path until you reach the parking lot."
Parking Lot 9G,N/A,SMATE ,Main Entrance,Continue straight as you exit the building to the edge of the parking lot
Parking Lot 9G,N/A,SMATE ,Side Entrance,"Walk straight as you exit the building, then turn left as you pass the staircase to your left. You will follow a path which has a rock wall to the right and SMATE building to the left. Continue straight until you reach the parking lot."
Parking Lot 10G,N/A,Fine Arts Building,Main Entrance,"Turn right as you exit the building, and continue down the ramp. At the end of the ramp, turn left then right so that you continue along the path with the Fine Arts building to the right. You will pass an entrance to the building on the right, continue straight to the parking lot"
Downtown Bus Stop,N/A,Carver Gym,Garden Entrance,"Continue straight after exiting the building, walking throught the corridor so that the glass wall of Carver is to your right and the brick wall is to the left. When you reach the end of the corridor there will be a wooden and concrete bench; turn right. Follow the edge of the grass which is to your left, following it as it turns left to walk away from Carver, then left again so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Carver Gym,North Entrance,"Exit the building and continue walking straight, following the brick wall of the builing and then grass to your right. At the edge of the grass, turn left onto the path so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Carver Gym,Main Entrance,"Turn left as you exit the building, and pass a set of double doors to your left. Follow the edge of the Carver building to the left and turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Carver Gym,South Entrance,"Turn to the left after exiting the building. Passing two benches, there will be a green space to your right and Carver will be to your left. At the edge of the Carver building, you will meet a larger brick path. Turn left onto this path, Carver will continue to be to your left, and walk straight. You will pass the main entrance of Carver to your left, continue to follow the edge of the building. Turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,SMATE ,Side Entrance,"Turn right as you exit the building and continue straight, walking towards Carver Gym. At the entrance to Carver, turn right. You will then pass two benches, there will be a green space to your right and Carver will be to your left. At the edge of the Carver building, you will meet a larger brick path. Turn left onto this path, Carver will continue to be to your left, and walk straight. You will pass the main entrance of Carver to your left, continue to follow the edge of the building. Turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,SMATE ,Main Entrance,"Exiting the building continue straith to the edge of the parking lot. Then turn left and follow the edge of teh grass which is to the right, rounding the corner to the right to a path which has a rock wall to the left and the SMATE building to the right. Continue to follow this path until you reach the entrance of Carver. At the entrance to Carver, turn right. You will then pass two benches, there will be a green space to your right and Carver will be to your left. At the edge of the Carver building, you will meet a larger brick path. Turn left onto this path, Carver will continue to be to your left, and walk straight. You will pass the main entrance of Carver to your left, continue to follow the edge of the building. Turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Fine Arts Building,Main Entrance,"Exiting the building, turn right and continue down the ramp. At the end of the ramp, exit by turning left, then turn left again so that the Fine Arts Building is to your left. Continue straight until you meet the brick wall of the building, then turn right, then left, following the edge of the building. At the second corner, turn right, so that you are facing the main entrance to the Carver Gym. Walk straight across the path, to the edge of Carver. Then turn right. Follow the edge of the Carver building to the left and turn left when the building ends so that Carver is to your Left and Bond Hall is to the right. At the edge of Bond Hall, turn right so that the building is on your right. Walk straight, then at the next corner of Bond Hall, turn left. Leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
